Local Health - Public Health England; ; 
Geographical references: Lower Tier Local Authority 2021; ; 
Code;Label;Incidence of all cancer
E06000001;Hartlepool;108
E06000002;Middlesbrough;112.3
E06000003;Redcar and Cleveland;107.8
E06000004;Stockton-on-Tees;105.5
E06000005;Darlington;103.5
E06000006;Halton;110.7
E06000007;Warrington;101.1
E06000008;Blackburn with Darwen;103.1
E06000009;Blackpool;110.4
E06000010;Kingston upon Hull, City of;111
E06000011;East Riding of Yorkshire;98.5
E06000012;North East Lincolnshire;104.5
E06000013;North Lincolnshire;104.5
E06000014;York;96.9
E06000015;Derby;101.8
E06000016;Leicester;90.5
E06000017;Rutland;94.9
E06000018;Nottingham;105.5
E06000019;Herefordshire, County of;93.8
E06000020;Telford and Wrekin;103.6
E06000021;Stoke-on-Trent;111.1
E06000022;Bath and North East Somerset;98.6
E06000023;Bristol, City of;110.8
E06000024;North Somerset;103.4
E06000025;South Gloucestershire;100.8
E06000026;Plymouth;105.3
E06000027;Torbay;100.8
E06000030;Swindon;98.3
E06000031;Peterborough;102.7
E06000032;Luton;95.2
E06000033;Southend-on-Sea;94.8
E06000034;Thurrock;101
E06000035;Medway;102.4
E06000036;Bracknell Forest;103.3
E06000037;West Berkshire;96.4
E06000038;Reading;100.4
E06000039;Slough;97.7
E06000040;Windsor and Maidenhead;97.7
E06000041;Wokingham;92.7
E06000042;Milton Keynes;104.7
E06000043;Brighton and Hove;107.4
E06000044;Portsmouth;106.3
E06000045;Southampton;108.6
E06000046;Isle of Wight;102.9
E06000047;County Durham;102.8
E06000049;Cheshire East;95.2
E06000050;Cheshire West and Chester;104.1
E06000051;Shropshire;93.1
E06000052;Cornwall;100.4
E06000053;Isles of Scilly;104.4
E06000054;Wiltshire;95.9
E06000055;Bedford;99.1
E06000056;Central Bedfordshire;97.1
E06000057;Northumberland;101.8
E06000058;Bournemouth, Christchurch and Poole;104
E06000059;Dorset;99.8
E06000060;Buckinghamshire;94.3
E06000061;North Northamptonshire;103
E06000062;West Northamptonshire;97.3
E07000008;Cambridge;98.6
E07000009;East Cambridgeshire;96.6
E07000010;Fenland;103.5
E07000011;Huntingdonshire;95.2
E07000012;South Cambridgeshire;98.8
E07000026;Allerdale;95.5
E07000027;Barrow-in-Furness;102.7
E07000028;Carlisle;99
E07000029;Copeland;102.4
E07000030;Eden;88.5
E07000031;South Lakeland;90.2
E07000032;Amber Valley;98.2
E07000033;Bolsover;106.4
E07000034;Chesterfield;101.9
E07000035;Derbyshire Dales;100.5
E07000036;Erewash;100.7
E07000037;High Peak;96.6
E07000038;North East Derbyshire;98.3
E07000039;South Derbyshire;94.5
E07000040;East Devon;102.3
E07000041;Exeter;107.4
E07000042;Mid Devon;101.4
E07000043;North Devon;102
E07000044;South Hams;96.4
E07000045;Teignbridge;102.1
E07000046;Torridge;101.4
E07000047;West Devon;102
E07000061;Eastbourne;95.3
E07000062;Hastings;98.1
E07000063;Lewes;96.8
E07000064;Rother;98.7
E07000065;Wealden;96
E07000066;Basildon;106.5
E07000067;Braintree;96.1
E07000068;Brentwood;97.1
E07000069;Castle Point;99.9
E07000070;Chelmsford;94.2
E07000071;Colchester;101.1
E07000072;Epping Forest;103.4
E07000073;Harlow;108.6
E07000074;Maldon;92.8
E07000075;Rochford;93.4
E07000076;Tendring;104.8
E07000077;Uttlesford;93.5
E07000078;Cheltenham;96
E07000079;Cotswold;90.5
E07000080;Forest of Dean;90.7
E07000081;Gloucester;96.5
E07000082;Stroud;90.4
E07000083;Tewkesbury;92.9
E07000084;Basingstoke and Deane;97.5
E07000085;East Hampshire;96.6
E07000086;Eastleigh;95.7
E07000087;Fareham;98.7
E07000088;Gosport;104
E07000089;Hart;96.3
E07000090;Havant;101.5
E07000091;New Forest;100.1
E07000092;Rushmoor;105.4
E07000093;Test Valley;99.4
E07000094;Winchester;92.5
E07000095;Broxbourne;104.4
E07000096;Dacorum;95.3
